comments,keywords
: 不要複數帽子 給我單數腰子,"[':', ' ', '不要', '複', '數', '帽子', ' ', '給我', '單數', '腰子']"
: 777777777 沒亞索就屌打,"[':', ' ', '777777777', ' ', '沒亞索', '就', '屌', '打']"
: 哪來的自信選牙速，笑死,"[':', ' ', '哪來', '的', '自信', '選牙速', '，', '笑', '死']"
: Let s go G2,"[':', ' ', 'Let', ' ', 's', ' ', 'go', ' ', 'G2']"
: 欸不是 為什麼這LULU三顆頭啊,"[':', ' ', '欸', '不是', ' ', '為', '什麼', '這', 'LULU', '三', '顆頭', '啊']"
: 就夾你沒閃,"[':', ' ', '就夾', '你', '沒', '閃']"
: GG人,"[':', ' ', 'GG', '人']"
: 昨天還說caps跟牙膏半斤八兩 結果被打臉 比牙膏更爛,"[':', ' ', '昨天', '還說', 'caps', '跟', '牙膏', '半斤', '八兩', ' ', '結果', '被', '打', '臉', ' ', '比', '牙膏', '更爛']"
: BLG這野輔又開始了 智障級的,"[':', ' ', 'BLG', '這野輔', '又', '開始', '了', ' ', '智障', '級', '的']"
: 熟悉的BLG  開始亂送了,"[':', ' ', '熟悉', '的', 'BLG', ' ', ' ', '開始', '亂', '送', '了']"
: mikyx這機器人是保夾嗎,"[':', ' ', 'mikyx', '這機器', '人', '是', '保夾', '嗎']"
: Mikyx7777777777,"[':', ' ', 'Mikyx7777777777']"
: Mikyx 77777777,"[':', ' ', 'Mikyx', ' ', '77777777']"
: BLG會不會真的輸阿= =,"[':', ' ', 'BLG', '會不會', '真的', '輸', '阿', '=', ' ', '=']"
: 亂送一通 XD,"[':', ' ', '亂', '送', '一通', ' ', 'XD']"
: GG人有料,"[':', ' ', 'GG', '人有料']"
: 好強喔...機器人,"[':', ' ', '好強', '喔', '...', '機器', '人']"
: 太神啦我大mikyx,"[':', ' ', '太神', '啦', '我', '大', 'mikyx']"
: BLG不可能輸 看一下經濟,"[':', ' ', 'BLG', '不', '可能', '輸', ' ', '看', '一下', '經濟']"
: 還有點戲,"[':', ' ', '還有', '點戲']"
: 拉拉拉放…啊不是,"[':', ' ', '拉', '拉拉', '放', '…', '啊', '不是']"
: 韓總拿到賞金 賺爛= =,"[':', ' ', '韓總', '拿到', '賞金', ' ', '賺爛', '=', ' ', '=']"
: 一直拉一直爽,"[':', ' ', '一直', '拉一', '直爽']"
: 臭 XD,"[':', ' ', '臭', ' ', 'XD']"
: 太亂鬥了,"[':', ' ', '太亂鬥', '了']"
: 機器人有欸,"[':', ' ', '機器', '人', '有', '欸']"
: BLG再搞下去會爆炸,"[':', ' ', 'BLG', '再', '搞', '下去', '會', '爆炸']"
: 十連保底,"[':', ' ', '十連', '保底']"
: 我會出手,"[':', ' ', '我會', '出手']"
: 這兩個笑死,"[':', ' ', '這兩個', '笑', '死']"
: 醜死,"[':', ' ', '醜死']"
: 勳島?,"[':', ' ', '勳島', '?']"
: BLG本來就不會贏,"[':', ' ', 'BLG', '本來', '就', '不會贏']"
: ？,"[':', ' ', '？']"
: 敲小兵?,"[':', ' ', '敲', '小兵', '?']"
: 笑死,"[':', ' ', '笑', '死']"
: = =,"[':', ' ', '=', ' ', '=']"
: 好醜,"[':', ' ', '好醜']"
: q小兵 笑死,"[':', ' ', 'q', '小兵', ' ', '笑', '死']"
: XUN導名不虛傳,"[':', ' ', 'XUN', '導名', '不虛傳']"
: XUN KEKW,"[':', ' ', 'XUN', ' ', 'KEKW']"
: 出手,"[':', ' ', '出手']"
: Q小兵,"[':', ' ', 'Q', '小兵']"
: 幽默喔,"[':', ' ', '幽默', '喔']"
: 比醜？？,"[':', ' ', '比醜', '？', '？']"
: Xun好爛,"[':', ' ', 'Xun', '好爛']"
: Q小兵 笑死,"[':', ' ', 'Q', '小兵', ' ', '笑', '死']"
: 笑死,"[':', ' ', '笑', '死']"
: 難怪BLG會在敗部..,"[':', ' ', '難怪', 'BLG', '會', '在', '敗部', '..']"
: A兵,"[':', ' ', 'A', '兵']"
: XUN導 KEKWE,"[':', ' ', 'XUN', '導', ' ', 'KEKWE']"
: XUN?,"[':', ' ', 'XUN', '?']"
: 敲小兵 媽啊.....................................,"[':', ' ', '敲', '小兵', ' ', '媽啊', '.....................................']"
: Xun你又買了,"[':', ' ', 'Xun', '你', '又', '買', '了']"
: 兩邊都失智 EQ也能空,"[':', ' ', '兩邊', '都', '失智', ' ', 'EQ', '也', '能空']"
: 機器人豪猛,"[':', ' ', '機器', '人豪', '猛']"
: 笑死,"[':', ' ', '笑', '死']"
: 之前那場是保底,"[':', ' ', '之前', '那場', '是', '保底']"
: 差點要craps,"[':', ' ', '差點', '要', 'craps']"
: 好醜,"[':', ' ', '好醜']"
: Xun導 很演欸,"[':', ' ', 'Xun', '導', ' ', '很演', '欸']"
: 一堆失誤 真猴子,"[':', ' ', '一堆', '失誤', ' ', '真', '猴子']"
: 機器人跟鬼一樣,"[':', ' ', '機器', '人', '跟', '鬼', '一樣']"
: 兩邊比醜的,"[':', ' ', '兩邊', '比醜', '的']"
: 吐了 一個Q3沒起風 一個敲小兵,"[':', ' ', '吐', '了', ' ', '一個', 'Q3', '沒起', '風', ' ', '一個', '敲', '小兵']"
: 人機一體,"[':', ' ', '人機', '一體']"
: 一個EQ空 一個Q小兵,"[':', ' ', '一個', 'EQ', '空', ' ', '一個', 'Q', '小兵']"
: 哈哈哈 銀牌對決,"[':', ' ', '哈哈哈', ' ', '銀牌', '對決']"
: 笑死 這兩個 斜咖,"[':', ' ', '笑', '死', ' ', '這兩個', ' ', '斜', '咖']"
: 這兩隊實力差不多耶,"[':', ' ', '這兩隊', '實力', '差不多', '耶']"
: 醜狗對決,"[':', ' ', '醜狗', '對決']"
: 勳導,"[':', ' ', '勳導']"
: 勳導有喔,"[':', ' ', '勳導', '有', '喔']"
: xun沒打假賽是吧xddd,"[':', ' ', 'xun', '沒', '打假', '賽是', '吧', 'xddd']"
: Jinx補鈔 還有機會,"[':', ' ', 'Jinx', '補鈔', ' ', '還有', '機會']"
: 查一下XUN導吧,"[':', ' ', '查', '一下', 'XUN', '導吧']"
: 醜狗間的對決,"[':', ' ', '醜狗間', '的', '對決']"
: 拜託G2爭氣點......,"[':', ' ', '拜', '託', 'G2', '爭氣點', '......']"
: Caps 也是真的再雷欸 還好勳笑死了,"[':', ' ', 'Caps', ' ', '也', '是', '真的', '再雷', '欸', ' ', '還好', '勳笑', '死', '了']"
: 還得是你啊Xun導,"[':', ' ', '還得', '是', '你', '啊', 'Xun', '導']"
: 有哦 小兵很會補哦,"[':', ' ', '有', '哦', ' ', '小兵', '很會', '補', '哦']"
: Q 到小兵哪招...,"[':', ' ', 'Q', ' ', '到', '小兵', '哪招', '...']"
: 兩邊再比醜?,"[':', ' ', '兩邊', '再', '比醜', '?']"
: 猴哥：沒事，問題不大,"[':', ' ', '猴哥', '：', '沒事', '，', '問題', '不大']"
: 看起來要靠阿bin了,"[':', ' ', '看起', '來', '要', '靠', '阿', 'bin', '了']"
: -1445,"[':', ' ', '-', '1445']"
: 剛才就說這場看CAPS 就比哪邊比較少低智商失誤而以,"[':', ' ', '剛才', '就', '說', '這場', '看', 'CAPS', ' ', '就', '比', '哪邊', '比', '較', '少', '低', '智商', '失誤', '而', '以']"
: 沒啥救。要屌拉，不然jinx沒人保，會被黑甲切爛,"[':', ' ', '沒', '啥', '救', '。', '要', '屌', '拉', '，', '不然', 'jinx', '沒人保', '，', '會', '被', '黑甲切爛']"
: 勳導微信到帳了,"[':', ' ', '勳導', '微信', '到帳', '了']"
: Caps正常一點 這場G2要車過去了...,"[':', ' ', 'Caps', '正常', '一點', ' ', '這場', 'G2', '要', '車過', '去', '了', '...']"
: BLG是看G2多沒有啊XD 希望被打爆謝謝,"[':', ' ', 'BLG', '是', '看', 'G2', '多', '沒', '有', '啊', 'XD', ' ', '希望', '被', '打爆', '謝謝']"
: 這次前三跟後面隊伍真的差距很大,"[':', ' ', '這次', '前', '三', '跟後面', '隊伍', '真的', '差距', '很大']"
: ElK也很爛,"[':', ' ', 'ElK', '也', '很爛']"
: 笑死我 車?,"[':', ' ', '笑', '死', '我', ' ', '車', '?']"
: G2這邊很明顯最戳的就CAPS,"[':', ' ', 'G2', '這邊', '很', '明顯', '最', '戳', '的', '就', 'CAPS']"
: 牙膏？,"[':', ' ', '牙膏', '？']"
: CRAPS,"[':', ' ', 'CRAPS']"
: 7777777777777777777777777777777777,"[':', ' ', '7777777777777777777777777777777777']"
: 嗨起來囉！,"[':', ' ', '嗨', '起來', '囉', '！']"
: 醜,"[':', ' ', '醜']"
: 出手啦,"[':', ' ', '出手', '啦']"
: bin這是不是反向大R,"[':', ' ', 'bin', '這', '是不是', '反向', '大', 'R']"
: 韓總,"[':', ' ', '韓總']"
: 出事啦,"[':', ' ', '出事', '啦']"
: 77777,"[':', ' ', '77777']"
: 韓總起飛,"[':', ' ', '韓總起', '飛']"
: 出手啊,"[':', ' ', '出手', '啊']"
: 出手了,"[':', ' ', '出手', '了']"
: 這牙宿進去被AD融化,"[':', ' ', '這牙宿', '進去', '被', 'AD', '融化']"
: blg好醜,"[':', ' ', 'blg', '好醜']"
: 出手啊 有夠臭XDD,"[':', ' ', '出手', '啊', ' ', '有夠', '臭', 'XDD']"
: 這場其實是歐美大戰吧,"[':', ' ', '這場', '其實', '是', '歐美大戰', '吧']"
: BLG團戰跟屎一樣,"[':', ' ', 'BLG', '團戰', '跟', '屎', '一樣']"
: CRAPS 傷害好低==,"[':', ' ', 'CRAPS', ' ', '傷害', '好', '低', '=', '=']"
: 怪怪的欸這個卡桑蒂,"[':', ' ', '怪怪的', '欸', '這個', '卡桑', '蒂']"
: BIN大開歪,"[':', ' ', 'BIN', '大開', '歪']"
: 我會出手,"[':', ' ', '我會', '出手']"
: 阿bin???,"[':', ' ', '阿', 'bin', '?', '?', '?']"
: BLG真的是中韓四隊裡最弱的,"[':', ' ', 'BLG', '真的', '是', '中', '韓四隊裡', '最弱', '的']"
: 牙膏洞好大,"[':', ' ', '牙膏', '洞好', '大']"
: 韓總發大財,"[':', ' ', '韓總發', '大財']"
: 太神啦肥起來啦,"[':', ' ', '太神', '啦', '肥起', '來', '啦']"
: Bin在幹嘛,"[':', ' ', 'Bin', '在', '幹', '嘛']"
: 兩個牙膏都...,"[':', ' ', '兩個', '牙膏', '都', '...']"
: 幹難怪不選,"[':', ' ', '幹難怪', '不選']"
: 真的不會玩卡桑蒂,"[':', ' ', '真的', '不會', '玩', '卡桑', '蒂']"
: 韓總開射,"[':', ' ', '韓總開射']"
: 韓總起飛啦,"[':', ' ', '韓總起', '飛', '啦']"
: ElK就真的爛,"[':', ' ', 'ElK', '就', '真的', '爛']"
: 阿彬的黑甲真的不成人形,"[':', ' ', '阿彬', '的', '黑甲', '真的', '不成', '人形']"
: BLG真的爛隊 還我WBG TES,"[':', ' ', 'BLG', '真的', '爛隊', ' ', '還我', 'WBG', ' ', 'TES']"
: 小呆瓜乖乖躺好就好,"[':', ' ', '小呆瓜', '乖乖', '躺', '好', '就', '好']"
: hansama肥囉,"[':', ' ', 'hansama', '肥', '囉']"
: 打北美都醜成這樣了 打歐洲果然有點難度了,"[':', ' ', '打', '北美', '都', '醜成', '這樣', '了', ' ', '打', '歐洲', '果然', '有點', '難度', '了']"
: Bin的黑甲真的名不虛傳的爛,"[':', ' ', 'Bin', '的', '黑甲', '真的', '名不虛', '傳的爛']"
: 哇靠 輸四千凹回來欸,"[':', ' ', '哇', '靠', ' ', '輸', '四千', '凹', '回來', '欸']"
: LET'S GO G2！,"[':', ' ', 'LET', ""'"", 'S', ' ', 'GO', ' ', 'G2', '！']"
: 準備翻了,"[':', ' ', '準備', '翻', '了']"
: 媽的blg劇本出來了= =,"[':', ' ', '媽的', 'blg', '劇本', '出來', '了', '=', ' ', '=']"
: 贏4千BLG團戰打不過是怎樣,"[':', ' ', '贏', '4', '千', 'BLG', '團戰', '打不過', '是', '怎樣']"
: 他跟我前天看369的黑甲好像不太一樣,"[':', ' ', '他', '跟', '我', '前天', '看', '369', '的', '黑甲', '好像', '不太一樣']"
: hansama出手了,"[':', ' ', 'hansama', '出手', '了']"
: 韓總起飛,"[':', ' ', '韓總起', '飛']"
: 韓總很肥不怕,"[':', ' ', '韓總', '很', '肥', '不怕']"
: 機器人：我也會出手,"[':', ' ', '機器', '人', '：', '我', '也', '會', '出手']"
: 韓總!!!!!!!,"[':', ' ', '韓總', '!', '!', '!', '!', '!', '!', '!']"
: 哇靠，Jinx射起來了,"[':', ' ', '哇', '靠', '，', 'Jinx', '射起', '來', '了']"
: 爆爆開射,"[':', ' ', '爆爆', '開射']"
: 準備翻盤了,"[':', ' ', '準備', '翻盤', '了']"
: jinx很肥  還有得打,"[':', ' ', 'jinx', '很肥', ' ', ' ', '還有', '得', '打']"
: 哇== G2這麼會夾的嗎,"[':', ' ', '哇', '=', '=', ' ', 'G2', '這麼', '會夾', '的', '嗎']"
: 難怪都不選.根本不會玩卡桑蒂,"[':', ' ', '難怪', '都', '不選', '.', '根本', '不會', '玩', '卡桑', '蒂']"
: caps爛成這樣 BLG還能輸就太扯了,"[':', ' ', 'caps', '爛成', '這樣', ' ', 'BLG', '還能', '輸', '就', '太', '扯', '了']"
: \韓總/,"[':', ' ', '\\', '韓總', '/']"
: 又是不科學團戰嗎...,"[':', ' ', '又', '是', '不科學', '團戰', '嗎', '...']"
: Blg打團有夠爛,"[':', ' ', 'Blg', '打團', '有', '夠爛']"
: bin黑人 真的好爛,"[':', ' ', 'bin', '黑人', ' ', '真的', '好爛']"
: BLG是真的爛,"[':', ' ', 'BLG', '是', '真的', '爛']"
: 可以啊這波 牙膏蝦開,"[':', ' ', '可以', '啊', '這波', ' ', '牙膏', '蝦開']"
: 剩一千而已= =,"[':', ' ', '剩', '一千', '而已', '=', ' ', '=']"
: 哈哈哈哈,"[':', ' ', '哈哈哈哈']"
: 所以JDG把牙膏排掉換左手還是對的,"[':', ' ', '所以', 'JDG', '把', '牙膏', '排掉', '換', '左手', '還是', '對', '的']"
: 帽子哥乾脆出坦進場就好了,"[':', ' ', '帽子', '哥', '乾脆', '出坦', '進場', '就', '好', '了']"
: 勳導有喔 到帳有差,"[':', ' ', '勳導', '有', '喔', ' ', '到', '帳有', '差']"
: 帶走救得好XDDD,"[':', ' ', '帶', '走', '救', '得', '好', 'XDDD']"
: 豪扯喔 輸四千凹到剩一千,"[':', ' ', '豪扯', '喔', ' ', '輸', '四千', '凹到', '剩', '一千']"
: 又出手了,"[':', ' ', '又', '出手', '了']"
: 6頭！,"[':', ' ', '6', '頭', '！']"
: 我會出手！,"[':', ' ', '我會', '出手', '！']"
: 如果BLG贏之後要打Geng應該打不過,"[':', ' ', '如果', 'BLG', '贏之後要', '打', 'Geng', '應該', '打不過']"
: 有囉 出手了,"[':', ' ', '有', '囉', ' ', '出手', '了']"
: 我會出事,"[':', ' ', '我會', '出事']"
: 出手啦,"[':', ' ', '出手', '啦']"
: 韓總超肥,"[':', ' ', '韓總超肥']"
: 水啦韓總好肥,"[':', ' ', '水', '啦', '韓總', '好肥']"
: BIN你還是玩鬥士好了==,"[':', ' ', 'BIN', '你', '還是', '玩鬥士', '好', '了', '=', '=']"
: 我會出手!,"[':', ' ', '我會', '出手', '!']"
: bin玩坦太好笑了吧,"[':', ' ', 'bin', '玩坦', '太', '好笑', '了', '吧']"
: 這黑人好爛,"[':', ' ', '這', '黑人', '好爛']"
: 賓就說你不能玩這隻,"[':', ' ', '賓就', '說', '你', '不能', '玩', '這', '隻']"
: 阿bin 好雷,"[':', ' ', '阿', 'bin', ' ', '好雷']"
: 我會出手,"[':', ' ', '我會', '出手']"
: 牙速再爛後期到了還是秒AD,"[':', ' ', '牙速', '再爛後期', '到', '了', '還是', '秒', 'AD']"
: BLG上路笑死,"[':', ' ', 'BLG', '上路', '笑', '死']"
: 韓總起飛,"[':', ' ', '韓總起', '飛']"
: bin:我會出事!,"[':', ' ', 'bin', ':', '我會', '出事', '!']"
: BLG不會吧? 輸了好像會被爆破ㄟ,"[':', ' ', 'BLG', '不會', '吧', '?', ' ', '輸', '了', '好像', '會', '被', '爆破', 'ㄟ']"
: Bin剛剛不是跑掉了嗎 把jinx拉過來幹麻...,"[':', ' ', 'Bin', '剛剛', '不是', '跑掉', '了', '嗎', ' ', '把', 'jinx', '拉過', '來', '幹麻', '...']"
: Jinx準備社爛,"[':', ' ', 'Jinx', '準備', '社爛']"
: G2團戰打的比較好捏,"[':', ' ', 'G2', '團戰', '打', '的', '比', '較', '好', '捏']"
: G2好像要翻了欸,"[':', ' ', 'G2', '好像', '要', '翻', '了', '欸']"
: 笑死，BLG全員發病,"[':', ' ', '笑', '死', '，', 'BLG', '全員', '發病']"
: 我會送頭,"[':', ' ', '我會', '送頭']"
: 出手了 XD,"[':', ' ', '出手', '了', ' ', 'XD']"
: 阿賓出手帶這堆雷貨回祖國,"[':', ' ', '阿賓', '出手', '帶', '這堆', '雷貨', '回祖國']"
: 369比bin強太多了,"[':', ' ', '369', '比', 'bin', '強太多', '了']"
: 翻盤了 Bin這輩子玩不了坦的,"[':', ' ', '翻盤', '了', ' ', 'Bin', '這輩', '子玩', '不了', '坦', '的']"
: 韓總加油,"[':', ' ', '韓總', '加油']"
: Bin好醜 對線優勢被他打成團戰劣勢,"[':', ' ', 'Bin', '好醜', ' ', '對線', '優勢', '被', '他', '打成', '團戰', '劣勢']"
: 送殯,"[':', ' ', '送殯']"
: 兩個牙膏,"[':', ' ', '兩個', '牙膏']"
: 這卡桑帝應該是整個MSI最菜的,"[':', ' ', '這', '卡桑', '帝應', '該', '是', '整個', 'MSI', '最菜', '的']"
: 不是欸 nisqy玩都能秀的角色你怎玩這樣,"[':', ' ', '不是', '欸', ' ', 'nisqy', '玩', '都', '能秀', '的', '角色', '你', '怎玩', '這樣']"
: 笑死  這個梗可以用到BLG被淘汰為止欸,"[':', ' ', '笑', '死', ' ', ' ', '這個', '梗', '可以', '用到', 'BLG', '被', '淘汰', '為止', '欸']"
: 韓總今天狀態滿好的耶,"[':', ' ', '韓總', '今天', '狀態', '滿好', '的', '耶']"
: G2休息室怎麼有人龐克頭啦XDD,"[':', ' ', 'G2', '休息室', '怎麼', '有人', '龐克頭', '啦', 'XDD']"
: bin只會智障走位送頭,"[':', ' ', 'bin', '只會', '智障', '走位', '送頭']"
: jinx從天崩開局變無解耶肥-.-,"[':', ' ', 'jinx', '從', '天崩', '開局', '變無解', '耶肥', '-.-']"
: 笑死我會出殯,"[':', ' ', '笑', '死', '我會', '出殯']"
: 牙膏會黑甲嗎= =，給bin別隻吧。,"[':', ' ', '牙膏', '會', '黑甲', '嗎', '=', ' ', '=', '，', '給', 'bin', '別', '隻', '吧', '。']"
: 瞬間黑人從贏20cs變成輸15,"[':', ' ', '瞬間', '黑人', '從贏', '20cs', '變成輸', '15']"
: 後面黑甲會完全打不了Jinx喔,"[':', ' ', '後', '面', '黑甲會', '完全', '打', '不了', 'Jinx', '喔']"
: 國際禮儀送一局啦 擔心甚麼,"[':', ' ', '國際禮', '儀送', '一局', '啦', ' ', '擔心', '甚麼']"
: 615 jinx 有戲,"[':', ' ', '615', ' ', 'jinx', ' ', '有戲']"
: 88888888,"[':', ' ', '88888888']"
: 完蛋GGGGGG,"[':', ' ', '完蛋', 'GGGGGG']"
: GG,"[':', ' ', 'GG']"
: 沒了,"[':', ' ', '沒', '了']"
: 夢醒了,"[':', ' ', '夢醒', '了']"
: 這個黑甲 跟宙斯55開,"[':', ' ', '這個', '黑甲', ' ', '跟', '宙斯', '55', '開']"
: 韓總？？？,"[':', ' ', '韓總', '？', '？', '？']"
: BLG這種打法把對面當外卡一樣 活該被打爆,"[':', ' ', 'BLG', '這種', '打法', '把', '對', '面當', '外卡', '一樣', ' ', '活該', '被', '打爆']"
: 誰在bo5第一局國際禮儀的啦XDDD,"[':', ' ', '誰', '在', 'bo5', '第一局', '國際', '禮儀', '的', '啦', 'XDDD']"
: 打什麼大便www,"[':', ' ', '打什麼', '大便', 'www']"
: 夢醒了嗎,"[':', ' ', '夢醒', '了', '嗎']"
: GGGGGGGGG,"[':', ' ', 'GGGGGGGGG']"
: 夢醒了QQ,"[':', ' ', '夢醒', '了', 'QQ']"
: 還不是屌虐,"[':', ' ', '還', '不是', '屌', '虐']"
: .............,"[':', ' ', '.............']"
: 這不勾 gg人活比較好吧= =,"[':', ' ', '這不勾', ' ', 'gg', '人活', '比', '較', '好', '吧', '=', ' ', '=']"
: 亮fpx 殺人誅心,"[':', ' ', '亮', 'fpx', ' ', '殺人', '誅心']"
: 醜狗大對決,"[':', ' ', '醜狗大', '對決']"
: 死光啦G2..,"[':', ' ', '死光', '啦', 'G2', '..']"
: 到底,"[':', ' ', '到底']"
: G2真的好爛\,"[':', ' ', 'G2', '真的', '好爛', '\\']"
: Caps 看起來好好笑,"[':', ' ', 'Caps', ' ', '看起', '來', '好好笑']"
: 幹 保好你們ad好嗎 G2,"[':', ' ', '幹', ' ', '保好', '你', '們', 'ad', '好', '嗎', ' ', 'G2']"
: 這三小,"[':', ' ', '這三小']"
: 爽  揚威LPL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"[':', ' ', '爽', ' ', ' ', '揚威', 'LPL', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!']"
: 結果G2團還是打輸了,"[':', ' ', '結果', 'G2', '團還', '是', '打輸', '了']"
: 怎麼就ACE了,"[':', ' ', '怎麼', '就', 'ACE', '了']"
: 夢醒了,"[':', ' ', '夢醒', '了']"
: 幹他媽剛推完文就被打臉 又翻了 耖,"[':', ' ', '幹', '他', '媽剛', '推', '完文', '就', '被', '打', '臉', ' ', '又', '翻', '了', ' ', '耖']"
: 夢醒囉,"[':', ' ', '夢醒', '囉']"
: 這兩隊都乖乖下去好嗎 醜到吐,"[':', ' ', '這兩隊', '都', '乖乖', '下去', '好', '嗎', ' ', '醜到', '吐']"
: 蛤== 這個能被開成這樣哦,"[':', ' ', '蛤', '=', '=', ' ', '這個', '能', '被', '開成', '這樣', '哦']"
: 本來想說能不能救吧,"[':', ' ', '本來', '想', '說', '能', '不能', '救', '吧']"
: Caps真的好爛…,"[':', ' ', 'Caps', '真的', '好爛', '…']"
: 醒囉,"[':', ' ', '醒', '囉']"
: 這次是eu劇本,"[':', ' ', '這次', '是', 'eu', '劇本']"
: 就說不行阿 CAPS沒傷害,"[':', ' ', '就', '說', '不行', '阿', ' ', 'CAPS', '沒傷害']"
: 酒桶和牙刷這配合真的爛的可以,"[':', ' ', '酒桶', '和', '牙刷', '這', '配合', '真的', '爛的', '可以']"
: G2看起來不想送輸人欸==,"[':', ' ', 'G2', '看起', '來', '不想', '送輸', '人', '欸', '=', '=']"
: 不知道誰是大哥是不是ww,"[':', ' ', '不', '知道', '誰', '是', '大哥', '是不是', 'ww']"
: Caps真的好爛 乖乖出保AD好嗎?,"[':', ' ', 'Caps', '真的', '好爛', ' ', '乖乖', '出保', 'AD', '好', '嗎', '?']"
: 兩隊真的跟前段有差距,"[':', ' ', '兩隊', '真的', '跟前', '段', '有', '差距']"
: FPX 笑死,"[':', ' ', 'FPX', ' ', '笑', '死']"
: 看來G2兩分部都要倒了 一個巴黎慘案 一個倫敦慘案,"[':', ' ', '看來', 'G2', '兩', '分部', '都', '要', '倒', '了', ' ', '一個', '巴黎', '慘案', ' ', '一個', '倫敦', '慘案']"
: 兩邊輪流送,"[':', ' ', '兩邊', '輪流', '送']"
: 被大東爽炸,"[':', ' ', '被', '大東', '爽炸']"
: CAPS老了就乖乖完冰女 加里歐,"[':', ' ', 'CAPS', '老', '了', '就', '乖乖', '完冰女', ' ', '加里', '歐']"
: 不清楚誰是大哥是不是 白痴牙索,"[':', ' ', '不', '清楚', '誰', '是', '大哥', '是不是', ' ', '白痴', '牙索']"
: 牙膏終於知道要偷貿凱大崛了,"[':', ' ', '牙膏', '終於', '知道', '要', '偷貿凱', '大', '崛', '了']"
: CAPS前面失誤太多 經濟太差 限制不了大東,"[':', ' ', 'CAPS', '前面', '失誤', '太多', ' ', '經濟', '太差', ' ', '限制', '不了', '大東']"
: 保好ad好不好= =,"[':', ' ', '保好', 'ad', '好不好', '=', ' ', '=']"
: 大家都下去啦,"[':', ' ', '大家', '都', '下去', '啦']"
: 剛誇完,"[':', ' ', '剛誇', '完']"
: CAPs 沒傷害阿，R到AD都殺不死,"[':', ' ', 'CAPs', ' ', '沒傷害', '阿', '，', 'R', '到', 'AD', '都', '殺', '不', '死']"
: 笑死全部下去 大東直接閃上去,"[':', ' ', '笑', '死', '全部', '下去', ' ', '大東', '直接', '閃', '上去']"
: 難怪你們打上位的都被幹爆,"[':', ' ', '難怪', '你', '們', '打', '上位', '的', '都', '被', '幹', '爆']"
: BLG在那邊打我以為要滅了 G2也太亂,"[':', ' ', 'BLG', '在', '那邊', '打', '我', '以', '為', '要滅', '了', ' ', 'G2', '也', '太亂']"
: G2沒了 到帳不夠多,"[':', ' ', 'G2', '沒', '了', ' ', '到', '帳不夠', '多']"
: EU觀眾真的會看到中風,"[':', ' ', 'EU', '觀眾', '真的', '會', '看到', '中風']"
: 醜狗互咬 看誰先被嘴裡的毛噎死,"[':', ' ', '醜狗互', '咬', ' ', '看', '誰', '先', '被', '嘴裡', '的', '毛噎', '死']"
: 這兩隊都打得很粗糙 翻過來翻過去XD,"[':', ' ', '這兩隊', '都', '打', '得', '很', '粗糙', ' ', '翻過', '來', '翻過', '去', 'XD']"
: Caps也是看到線就會按R的,"[':', ' ', 'Caps', '也', '是', '看到', '線', '就', '會', '按', 'R', '的']"
: 這觀眾的聲音不說還以為在中國比欸,"[':', ' ', '這觀眾', '的', '聲音', '不', '說', '還以', '為', '在', '中國', '比', '欸']"
: 兩邊互送 真有禮貌,"[':', ' ', '兩邊', '互送', ' ', '真有', '禮貌']"
: 幹 逼AD閃現找隊友,"[':', ' ', '幹', ' ', '逼', 'AD', '閃現', '找', '隊友']"
: 1133..,"[':', ' ', '1133', '..']"
: 看來要開2了,"[':', ' ', '看來', '要', '開', '2', '了']"
: 中上都在搞阿 酒桶大絕丟龍坑,"[':', ' ', '中上', '都', '在', '搞', '阿', ' ', '酒桶', '大絕', '丟龍坑']"
: 反正這兩隊誰上去都被gen打爆 送成這樣,"[':', ' ', '反正', '這兩隊', '誰', '上去', '都', '被', 'gen', '打爆', ' ', '送成', '這樣']"
: 賊克說牙膏我還以為是說左邊的牙膏==,"[':', ' ', '賊', '克', '說', '牙膏', '我', '還以', '為', '是', '說', '左邊', '的', '牙膏', '=', '=']"
: 這就是LPL 揚威LPL  打架怎麼輸?,"[':', ' ', '這', '就是', 'LPL', ' ', '揚威', 'LPL', ' ', ' ', '打架', '怎麼', '輸', '?']"
: BLG韓粉 G2韓黑,"[':', ' ', 'BLG', '韓粉', ' ', 'G2', '韓黑']"
: 不懂就問 請問這個牙刷是N1ko嗎 Ancient的那個,"[':', ' ', '不', '懂', '就問', ' ', '請問', '這個', '牙刷', '是', 'N1ko', '嗎', ' ', 'Ancient', '的', '那個']"
: 保韓總好嗎,"[':', ' ', '保韓', '總好', '嗎']"
: 濱輸出500,"[':', ' ', '濱輸出', '500']"
: 牙刷幫AD風牆會不會啊 看一下是誰在C好嗎,"[':', ' ', '牙刷', '幫', 'AD', '風牆', '會', '不會', '啊', ' ', '看', '一下', '是', '誰', '在', 'C', '好', '嗎']"
: 酒桶出永霜喔 這樣傷害確實更缺了,"[':', ' ', '酒桶', '出永霜', '喔', ' ', '這樣', '傷害', '確實', '更', '缺', '了']"
